niche,keyword,region,timeframe,score,sources,seeds,source,score_norm
arte_diseno,color theory book,us,now 7-d,50.0,gtrends_rising,color theory,gtrends_rising,-0.11079740209210534
arte_diseno,color theory wheaton,us,now 7-d,50.0,gtrends_rising,color theory,gtrends_rising,-0.11079740209210534
arte_diseno,does branding hurt cows,us,now 7-d,50.0,gtrends_rising,branding,gtrends_rising,-0.11079740209210534
arte_diseno,bunker branding,us,now 7-d,42.0,"gtrends_rising,gtrends_top",branding,gtrends_rising,-0.1109615326366637
arte_diseno,branding iron cafe,us,now 7-d,40.0,gtrends_rising,branding,gtrends_rising,-0.11100256527280329
arte_diseno,color theory red,us,now 7-d,19.0,gtrends_top,color theory,gtrends_top,-0.6360898299057164
arte_diseno,color theory wheel,us,now 7-d,19.0,gtrends_top,color theory,gtrends_top,-0.6360898299057164
arte_diseno,color wheel,us,now 7-d,19.0,gtrends_top,color theory,gtrends_top,-0.6360898299057164
arte_diseno,color theory blue,us,now 7-d,18.0,gtrends_top,color theory,gtrends_top,-0.6702508621572539
arte_diseno,color theory green,us,now 7-d,15.0,gtrends_top,color theory,gtrends_top,-0.7727339589118665
arte_diseno,trichromatic color theory,us,now 7-d,15.0,gtrends_top,color theory,gtrends_top,-0.7727339589118665
arte_diseno,color theory art,us,now 7-d,12.0,gtrends_top,color theory,gtrends_top,-0.875217055666479
arte_diseno,tipografia definicion,us,now 7-d,8.0,gtrends_top,tipografia,gtrends_top,-1.011861184672629
ciberseguridad,siem fortinet,es,today 3-m,62951.5,"gtrends_rising,gtrends_top",siem,gtrends_rising,1.7641704736007207
ciberseguridad,jaguar ransomware,es,today 3-m,55902.5,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,1.5283869177490932
ciberseguridad,cis hardening,es,today 3-m,39528.0,"gtrends_rising,gtrends_top",hardening,gtrends_rising,0.9806726554008915
ciberseguridad,google phishing quiz,es,today 3-m,38600.0,gtrends_rising,phishing,gtrends_rising,0.9496317787048623
ciberseguridad,ransomware traduccion,es,today 3-m,34701.5,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,0.8192299922830195
ciberseguridad,devo siem,es,today 3-m,19450.5,"gtrends_rising,gtrends_top",siem,gtrends_rising,0.3090959292537715
ciberseguridad,active directory hardening,es,today 3-m,18901.5,"gtrends_rising,gtrends_top",hardening,gtrends_rising,0.2907323071566594
ciberseguridad,ataque ransomware,es,today 3-m,40.0,gtrends_top,ransomware,gtrends_top,0.031713701990611194
ciberseguridad,phishing definition,es,today 3-m,10300.0,gtrends_rising,phishing,gtrends_rising,0.00301883635828041
ciberseguridad,basic pentesting tryhackme,es,today 3-m,8600.5,"gtrends_rising,gtrends_top",pentesting,gtrends_rising,-0.05382811401338093
ciberseguridad,siem van bruggen,es,today 3-m,8225.0,"gtrends_rising,gtrends_top",siem,gtrends_rising,-0.06638829634027639
ciberseguridad,ransomware telefonica,es,today 3-m,5875.5,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.14497724008738927
ciberseguridad,siem barracuda,es,today 3-m,5225.0,"gtrends_rising,gtrends_top",siem,gtrends_rising,-0.1667359580731296
ciberseguridad,bitlocker ransomware,es,today 3-m,4975.0,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.17509826321753402
ciberseguridad,ransomware live,es,today 3-m,4875.0,"gtrends_rising,gtrends_top",ransomware,gtrends_rising,-0.1784431852752958
