videoId,title,region,niche,content_type,views,likes,comments,engagement_rate,seconds,publishedAt,categoryTitle,tags,source
mvDCX5eWmi8,¡SÍ TE PUEDES MAQUILLAR! Maquillaje natural fácil para principiantes,GL,belleza,Video,63550,3347,180,0.0554996066089693,841.0,2021-02-02T22:17:20Z,,"florencia guillot,makeup tutorial,maquillaje natural,maquillaje natural para morenas,maquillaje natural paso a paso,maquillaje para principiantes,maquillaje paso a paso,natural makeup,reseña de maquillaje,tutorial de maquillaje",yt_search
v2tGVqhubLc,Rutina de skincare de NOCHE para PRINCIPIANTES (paso por paso) #rutinadeskincare #mixsoon,GL,belleza,Video,63215,3487,45,0.0558728149964407,181.0,2025-03-26T14:14:33Z,,,yt_search
5N594AsC1wY,Cuidados después de KERATINA y DECOLORACIÓN,GL,belleza,Video,59784,2283,185,0.0412819483473839,870.0,2022-09-25T17:00:13Z,,"cabello,cabello decolorado,cabello procesado,cabello seco,caída de cabello,como hidratar el cabello,como hidratar el pelo,cuidados del cabello,cuidados del pelo,derma,dermatologa,dermatologia,efecto de color,hair care,keratina,keratina en el pelo,keratina sin formol,keratina y efecto de color,mi rutina de pelo,orzuelo en el cabello,pelo reseco,pelo seco,puntas resecas,tinte de cabello,tinte rosa,tratamientos cabello,tratamientos pelo,tricologia",yt_search
JO_KUX0mRY8,COMO CUIDAR TU PELO 💇🏻‍♀️ TIPS DE UNA DERMATÓLOGA 👩🏻‍⚕️👌🏻🤩,GL,belleza,Video,55621,2493,147,0.0474640873051545,730.0,2024-03-31T18:00:06Z,,,yt_search
99sV0g4Ro1c,🌞 Rutina de skincare de mañana (simple y rapido) #mixsoon #skincare #kbeauty,GL,belleza,Video,52050,2729,21,0.05283381364073,181.0,2025-03-05T13:08:12Z,,,yt_search
0KxQP0PvZY4,"Mi Rutina de Cabello: quita frizz del cabello, productos baratos, como lo peino + Tips ft Yesstyle🧴🫧",GL,belleza,Video,51716,2826,55,0.0557080980740969,792.0,2025-02-08T20:26:36Z,,"cabello bonito,cabello sano,como quiera el frizz del cabello,evelyn,garnier fructis,glossy hair,hair routine,i am stefany rutina de cabello,kbeauty,mi rutina de cabello,mi rutina de mañana,mu rutina de maquillaje,the wizard liz,yesstyle",yt_search
e5pgA_T--Sw,MAQUILLAJE NATURAL | PASO A PASO,GL,belleza,Video,50146,0,38,0.0007577872611973,61.0,2021-05-25T15:02:11Z,,"andrea curto,belleza,consejos de maquillaje,escuela de maquillaje online,escuela online de maquillaje,maquilladora profesional,maquillaje,maquillaje natura,maquillaje profesional,maquilleje online,tips de maquillaje,tumakeup",yt_search
n6aqtyXAd6c,Maquillaje natural para mujeres maduras | L´Oréal Paris,GL,belleza,Video,49565,721,41,0.0153737516392615,77.0,2020-01-29T14:41:31Z,,"maquillaje age perfect,maquillaje l'oréal,maquillaje mujeres maduras,maquillaje natural,maquillaje natural mujeres maduras",yt_search
dQS_lAm7mc8,Cómo RECUPERAR tu CABELLO dañado🎀| Rutina completa paso a paso 🧴🧼🫧,GL,belleza,Video,44088,2102,91,0.0497414262384322,1207.0,2025-08-18T14:45:41Z,,,yt_search
S9Jta3KxtdY,Rutina de cuidado capilar | te explico cómo cuidar tu cabello,GL,belleza,Video,40396,3365,30,0.0840429745519358,61.0,2024-04-28T20:39:37Z,,,yt_search
u6JR6G6STcE,RUTINA de SKINCARE para PRINCIPIANTES + Productos 🧖🏻‍♀️💕 | Moonie,GL,belleza,Video,39710,1880,97,0.0497859481238982,178.0,2024-04-17T21:45:21Z,,"adolescentes,beauty,beauty tips,belleza,skincare,skincare tips,tips,tips de belleza",yt_search
PETB01FeYlU,Rutina se cuidado capilar cabello 2A y 2B #hair,GL,belleza,Video,38094,2681,52,0.0717435816664041,178.0,2025-08-11T19:08:54Z,,,yt_search
PH70AgNdf5I,"Mi experiencia REAL tras 25 días tomando HSN Care cabello, piel y uñas",GL,belleza,Video,37987,3079,211,0.0866085766183168,441.0,2025-09-19T18:30:37Z,,"25 dias adios caida del cabello,25 dias hsn care,25 dias resultados hsn care cabello piel y uñas,25 dias tomando hsn care,25 días tomando hsn care cabello piel y uñas,adios caida del cabello,experiencia real,experiencia real tomando hsn care cabello piel y uñas,hsn,hsn care,hsn care cabello,hsn care cabello piel y uñas,hsn care piel,hsn care uñas,mi experiencia real,mi experiencia real tras 25 dias tomando hsn care cabello,salud,sento farmaceutico,sento segarra",yt_search
rIGoEvs5ZKQ,Maquillaje Natural Para Pieles Maduras,GL,belleza,Video,37714,1433,38,0.0390040833642679,138.0,2025-08-22T16:01:33Z,,cuarentonas y felices,yt_search
KcFjl_EY1Mg,🔴 RUTINA de SKIN CARE para una PIEL HERMOSA Luego de los 40 @drapilarochoa - Dermatologa,GL,belleza,Video,35529,1214,41,0.0353232570576149,568.0,2024-02-25T14:59:54Z,,"cuidado de la piel,doctora pilar ochoa,doctorapilarochoa,dr ochoa,dr pilar,dr pilar ochoa,dra ochoa,dra pilar,dra pilar ochoa,dra pili ochoa,draochoa,drapilar,drapilarochoa,drochoa,drpilar,drpilarochoa,pili ochoa,piliochoa,productos skin care,rutina coreana,rutina de skin care,rutina facial,rutina facial coreana,rutina facial dia,rutina facial mujeres,rutina facial noche,rutina facial piel madura,rutina facial piel mixta,rutina fcial piel grasa,skincare",yt_search
3ZAIZNhw3wg,✋️Tendencias de Cabello Que Solo Gastan Tu Dinero #belleza #cabello #pelo,GL,belleza,Shorts,31411,931,3,0.0297348062780554,17.0,2025-09-27T12:04:17Z,,,yt_search
OhOCBQWg2xA,Rutina de Skin Care barata y efectiva que SÍ funciona,GL,belleza,Video,30044,1669,80,0.0582146185594461,819.0,2025-05-09T15:48:43Z,,"arma tu rutina de skincare,como armar una rutina de skin care economica,cuida tu piel como un profesional,productos de skin care economicos,rutina de skincare economica españa,rutina de skincare super economica,rutina economica de skincare,skin care bueno bonito y barato,skin care buenos y baratos,skin care economico para piel mixta,skin care economico para piel seca,skin care para todo tipo de piel,skin care rapido,skincare economico para piel grasa",yt_search
ayVNjrCaenU,Maquillaje natural y favorecedor + Mini AD,GL,belleza,Video,29699,3083,130,0.1081854607899255,1087.0,2020-11-22T14:00:01Z,,"alma maquillaje diario,alma maquillaje natural,alma primeras impresiones,look fresco,look natural,maquillaje de día,maquillaje diario,maquillaje fresco,maquillaje low cost,maquillaje natural,maquillaje natural para adolescentes,maquillaje natural para el dia,maquillaje natural para el instituto,maquillaje natural para trabajar,maquillaje sencillo,no makeup makeup,primeras impresiones maquillaje,probando maquillaje low cost,un cafe con alma",yt_search
x23rdmMYR3g,"Maquillaje para el dia dia, Piel Morena",GL,belleza,Video,27145,1699,13,0.0630687051022287,77.0,2025-05-02T19:14:51Z,,"maquillaje,maquillaje natural para piel morena,maquillaje natural para piel negra,maquillaje natural para piel oscura,maquillaje para el día,maquillaje para piel madura,maquillaje para piel morena,maquillaje para piel negra,maquillaje para piel oscura,maquillaje para pieles morenas,maquillaje para principiantes,maquillaje piel madura,maquillaje piel morena,tips de maquillaje para morenas piel madura,tips de maquillaje para piel morena",yt_search
n7e4MHYu7ic,Lo que necesitas en tu PRIMER KIT de MAQUILLAJE 🎀 para verte bonita en la escuela *sin gastar mucho*,GL,belleza,Video,24364,1354,203,0.0639057626005582,217.0,2025-05-21T21:59:31Z,,"glow up escolar,kit de maquillaje económico,makeup para estudiantes,maquillaje bonito y barato,maquillaje natural,maquillaje para adolescentes,maquillaje para diario,maquillaje para la escuela,maquillaje para principiantes,maquillaje sencillo,maquillaje sin gastar mucho,maquillaje suave,primer kit de maquillaje,productos básicos de maquillaje,productos esenciales,qué llevar en tu kit de maquillaje,rutina de maquillaje,tips de maquillaje escolar",yt_search
t9enscW-14Y,Rutina de skin care | piel mixta-grasa | kit revitalift ácido hialurónico + ácido salicílico,GL,belleza,Shorts,24000,462,23,0.0202083333333333,55.0,2024-03-28T02:12:43Z,,"acido hialurónico,cuidado de la piel,hidratar la piel,loreal,piel grasa,piel mixta,piel mixta a grasa,revitalift,skin care,ácido salicílico",yt_search
ZG8d7Cv1kEU,RUTINA SKINCARE SEPTIEMBRE 2025: GUÍA DE DERMATÓLOGA DE CADA INGREDIENTE COSMÉTICO ,GL,belleza,Video,20077,1505,200,0.0849230462718533,829.0,2025-09-28T18:10:13Z,,,yt_search
8eW0i446LHs,"Cómo CUIDARSE LA PIEL en tus 20s: rutina, prevención, tips y más!",GL,belleza,Video,19497,1642,107,0.0897061086320972,642.0,2025-02-24T20:00:09Z,,"cuidado de la piel,dadatina,facial,granitos,make up,maquillaje,piel,puntos negros,rutina facial,salud,skincare,soydadatina",yt_search
ovhXiLoyGN0,#maquillaje  NATURAL😍,GL,belleza,Shorts,16415,515,34,0.0334450197989643,34.0,2025-08-05T13:05:02Z,,,yt_search
1T4x_R8TO-Y,Maquillaje Natural para quienes no se maquillan #Maquilla  #amazing #mekuptips #ytshorts,GL,belleza,Shorts,15677,1526,65,0.1014862537475282,132.0,2025-09-17T17:22:58Z,,#maquilla #amazing #mekuptips #ytshorts,yt_search
qeXLLQlyoQk,maquillaje natural con productos económicos | tutorial,GL,belleza,Video,13253,567,24,0.0445936769033426,774.0,2024-07-20T20:45:01Z,,,yt_search
